,0,1,2,3,4
fold,1,2,3,4,5
train_score,-9.43E+22,-8.44E+22,-2.27E+23,-1.58E+23,-8.60E+22
test_score,-1.34E+24,-6.75E+23,-2.78E+24,-1.39E+24,-8.12E+23
train_mean_pearson,0.5984477050714177,0.6192895319946127,0.4672299214455668,0.5241388079991934,0.5326770642808735
test_mean_pearson,0.10234468517503679,0.14990810614638397,0.088366074,0.11030494339837629,0.12493428578978501
train_rmse,1.0282852303098189,1.0119071828049901,1.182126519658981,1.105300263464428,1.133122550093461
test_rmse,1.4890539403010425,1.5507921805022977,1.5468940189571863,1.4955545263810013,1.4637080799391646
